Date,F,GM
2015-01-02,8.742792129516602,27.022436141967773
2015-01-05,8.401278495788574,26.62687873840332
2015-01-06,8.321590423583984,27.03020477294922
2015-01-07,8.560649871826172,27.798057556152344
2015-01-08,8.776944160461426,28.0772762298584
2015-01-09,8.657415390014648,27.604143142700195
2015-01-12,8.663105010986328,27.798057556152344
2015-01-13,8.657415390014648,27.3404483795166
2015-01-14,8.600495338439941,26.603609085083008
2015-01-15,8.4581937789917,25.92882537841797
2015-01-16,8.54926872253418,26.122724533081055
2015-01-20,8.543573379516602,26.31662368774414
2015-01-21,8.520807266235352,26.285602569580078
2015-01-22,8.554959297180176,26.231311798095703
2015-01-23,8.486656188964844,26.177021026611328
2015-01-26,8.583417892456055,26.13823699951172
2015-01-27,8.452506065368652,25.921062469482422
2015-01-28,8.314507484436035,25.47121238708496
2015-01-29,8.5387544631958,25.719404220581055
2015-01-30,8.45825481414795,25.300573348999023
2015-02-02,8.780255317687988,25.680627822875977
2015-02-03,8.99875545501709,26.35540771484375
2015-02-04,9.125255584716797,27.790306091308594
2015-02-05,9.113755226135254,28.116058349609375
2015-02-06,9.119505882263184,27.922157287597656
2015-02-09,9.154006004333496,27.922157287597656
2015-02-10,9.251752853393555,29.10109519958496
2015-02-11,9.343755722045898,29.217432022094727
2015-02-12,9.407005310058594,29.4888973236084
2015-02-13,9.372506141662598,29.17864990234375
2015-02-17,9.263256072998047,28.883913040161133
2015-02-18,9.320755958557129,28.845125198364258
2015-02-19,9.447254180908203,29.09332847595215
2015-02-20,9.430005073547363,29.20192527770996
2015-02-23,9.418505668640137,29.232942581176758
2015-02-24,9.407005310058594,29.27948760986328
2015-02-25,9.493256568908691,29.364789962768555
2015-02-26,9.418505668640137,29.132112503051758
2015-02-27,9.395505905151367,28.93821144104004
2015-03-02,9.527756690979004,29.170896530151367
2015-03-03,9.297754287719727,29.31825828552246
2015-03-04,9.217257499694824,29.139869689941406
2015-03-05,9.263256072998047,29.170896530151367
2015-03-06,9.15975570678711,28.573673248291016
2015-03-09,9.217257499694824,29.449495315551758
2015-03-10,9.039003372192383,29.363479614257812
2015-03-11,9.056256294250488,29.543323516845703
2015-03-12,9.297754287719727,30.05160903930664
2015-03-13,9.315007209777832,29.75446891784668
2015-03-16,9.4817533493042,30.168916702270508
2015-03-17,9.424253463745117,29.942140579223633
2015-03-18,9.46450424194336,30.10635757446289
2015-03-19,9.395505905151367,30.22365379333496
2015-03-20,9.476005554199219,30.395689010620117
2015-03-23,9.527756690979004,30.176725387573242
2015-03-24,9.522005081176758,29.598073959350586
2015-03-25,9.303506851196289,29.230539321899414
2015-03-26,9.205756187438965,29.207077026367188
2015-03-27,9.188507080078125,29.17578887939453
2015-03-30,9.29200553894043,29.465131759643555
2015-03-31,9.280505180358887,29.324373245239258
2015-04-01,9.148256301879883,28.730073928833008
2015-04-02,9.217257499694824,28.542387008666992
2015-04-06,9.200004577636719,28.667503356933594
2015-04-07,9.14250373840332,27.940256118774414
2015-04-08,9.188507080078125,28.237417221069336
2015-04-09,9.171256065368652,28.378177642822266
2015-04-10,9.217257499694824,28.597126007080078
2015-04-13,9.125255584716797,28.464191436767578
2015-04-14,9.182756423950195,28.52675437927246
2015-04-15,9.240255355834961,28.8864688873291
2015-04-16,9.165505409240723,28.99594497680664
2015-04-17,9.062006950378418,28.6518611907959
2015-04-20,9.148256301879883,29.019397735595703
2015-04-21,9.096505165100098,29.058490753173828
2015-04-22,9.148256301879883,29.058490753173828
2015-04-23,9.062006950378418,28.088838577270508
2015-04-24,9.067756652832031,27.830778121948242
2015-04-27,9.14250373840332,27.979352951049805
2015-04-28,9.234504699707031,27.932449340820312
2015-04-29,9.298351287841797,27.76822853088379
2015-04-30,9.170659065246582,27.41633415222168
2015-05-01,9.176464080810547,27.697851181030273
2015-05-04,9.159049034118652,27.682205200195312
2015-05-05,9.013945579528809,27.377235412597656
2015-05-06,8.98492431640625,27.18956184387207
2015-05-07,9.002337455749512,27.27557945251465
2015-05-08,9.095206260681152,27.619644165039062
2015-05-11,9.08359432220459,27.541454315185547
2015-05-12,9.031359672546387,27.166107177734375
2015-05-13,8.944294929504395,27.21302032470703
2015-05-14,8.863035202026367,27.095722198486328
2015-05-15,8.98492431640625,27.299036026000977
2015-05-18,9.042964935302734,27.40852165222168
2015-05-19,8.99653434753418,27.46324920654297
