Date,KO,PEP
2015-01-02,30.222618103027344,69.21913146972656
2015-01-05,30.222618103027344,68.69872283935547
2015-01-06,30.452125549316406,68.1783447265625
2015-01-07,30.832233428955078,70.17192840576172
2015-01-08,31.205183029174805,71.44725799560547
2015-01-09,30.86092758178711,70.9635238647461
2015-01-12,30.581218719482422,70.67033386230469
2015-01-13,30.57404899597168,70.6190185546875
2015-01-14,30.523839950561523,70.85356903076172
2015-01-15,30.394742965698242,70.85356903076172
2015-01-16,30.502321243286133,71.30801391601562
2015-01-20,30.954153060913086,71.46924591064453
2015-01-21,31.097593307495117,71.3886489868164
2015-01-22,31.398813247680664,72.488037109375
2015-01-23,31.061744689941406,72.21683502197266
2015-01-26,30.839405059814453,72.33411407470703
2015-01-27,30.401906967163086,70.8902587890625
2015-01-28,30.064828872680664,70.15727996826172
2015-01-29,30.193941116333008,70.38450622558594
2015-01-30,29.526933670043945,68.73538970947266
2015-02-02,29.82816505432129,69.87144470214844
2015-02-03,29.85685920715332,70.50909423828125
2015-02-04,29.892715454101562,70.80226135253906
2015-02-05,29.97159767150879,70.8095703125
2015-02-06,29.727746963500977,70.88291931152344
2015-02-09,29.569969177246094,70.34050750732422
2015-02-10,30.409093856811523,71.82106018066406
2015-02-11,30.387575149536133,73.58745574951172
2015-02-12,30.244129180908203,73.49217987060547
2015-02-13,30.11503791809082,72.6566162109375
2015-02-17,29.985933303833008,72.09223175048828
2015-02-18,29.928569793701172,72.80322265625
2015-02-19,30.201107025146484,72.35609436035156
2015-02-20,30.100692749023438,72.60531616210938
2015-02-23,30.014636993408203,72.89115905761719
2015-02-24,30.2154483795166,72.98644256591797
2015-02-25,30.158069610595703,72.92778778076172
2015-02-26,30.452125549316406,72.6126480102539
2015-02-27,31.054563522338867,72.54668426513672
2015-03-02,30.982847213745117,72.56133270263672
2015-03-03,30.803543090820312,72.12155151367188
2015-03-04,30.480810165405273,71.83748626708984
2015-03-05,30.409093856811523,71.7415771484375
2015-03-06,29.777957916259766,70.95946502685547
2015-03-09,29.684715270996094,70.86353302001953
