Date,RTX,GD
2015-01-02,56.23672866821289,109.41446685791016
2015-01-05,55.298133850097656,107.1305923461914
2015-01-06,54.51594924926758,107.25701141357422
2015-01-07,55.10748291015625,106.84607696533203
2015-01-08,56.04608154296875,109.42237854003906
2015-01-09,55.73808288574219,109.82539367675781
2015-01-12,55.94828796386719,108.97981262207031
2015-01-13,55.89453887939453,108.89287567138672
2015-01-14,55.4936637878418,109.03579711914062
2015-01-15,55.4936637878418,109.32156372070312
2015-01-16,56.779319763183594,110.40121459960938
2015-01-20,57.45392990112305,109.62319946289062
2015-01-21,58.18718719482422,110.2583236694336
2015-01-22,58.8813591003418,112.10005187988281
2015-01-23,58.65159606933594,112.18739318847656
2015-01-26,58.05032730102539,111.1871109008789
2015-01-27,58.25075912475586,108.91670227050781
2015-01-28,57.15574264526367,108.28160858154297
2015-01-29,56.92597961425781,106.7574234008789
2015-01-30,56.1096076965332,105.74922180175781
2015-02-02,56.98953628540039,108.0593490600586
2015-02-03,58.11874771118164,110.30595397949219
2015-02-04,57.581024169921875,109.97250366210938
2015-02-05,58.71516418457031,110.09954071044922
2015-02-06,58.5684928894043,110.57586669921875
2015-02-09,58.328983306884766,108.71033477783203
2015-02-10,58.368080139160156,109.67880249023438
2015-02-11,58.333675384521484,108.92461395263672
2015-02-12,58.776004791259766,109.67085266113281
2015-02-13,59.591880798339844,109.24217224121094
2015-02-17,59.62626647949219,109.59147644042969
2015-02-18,59.9555549621582,110.07574462890625
2015-02-19,60.407711029052734,110.75050354003906
2015-02-20,60.99749755859375,112.9177017211914
2015-02-23,60.80580139160156,112.13973236083984
2015-02-24,60.8402099609375,112.47315216064453
2015-02-25,60.633758544921875,111.2506332397461
2015-02-26,60.28974533081055,110.68699645996094
2015-02-27,59.91623306274414,110.17097473144531
2015-03-02,60.54534149169922,110.9807357788086
2015-03-03,59.813045501708984,108.82937622070312
2015-03-04,59.4886474609375,108.16251373291016
2015-03-05,59.36576461791992,108.305419921875
2015-03-06,58.69736862182617,106.85269165039062
2015-03-09,59.83760452270508,107.90052795410156
2015-03-10,57.69965744018555,105.3364028930664
2015-03-11,58.161651611328125,105.02681732177734
2015-03-12,59.58692932128906,106.1143798828125
2015-03-13,58.358238220214844,104.93952178955078
2015-03-16,59.011924743652344,107.14640045166016
2015-03-17,58.9087028503418,106.47956848144531
2015-03-18,59.129859924316406,108.0593490600586
2015-03-19,58.67279052734375,107.39250183105469
2015-03-20,58.71212387084961,107.49567413330078
2015-03-23,58.32875061035156,107.86882019042969
2015-03-24,58.446712493896484,107.32901763916016
2015-03-25,57.237674713134766,106.18582916259766
2015-03-26,57.0312385559082,106.79712677001953
2015-03-27,57.45391845703125,107.20195007324219
2015-03-30,58.40248107910156,109.16275024414062
2015-03-31,57.60136032104492,107.74972534179688
2015-04-01,56.97227478027344,106.36048126220703
2015-04-02,57.56696319580078,106.16201782226562
2015-04-06,57.92573165893555,107.57508087158203
2015-04-07,57.74388885498047,107.17021179199219
2015-04-08,57.91590118408203,107.9123306274414
2015-04-09,57.935585021972656,108.34320831298828
2015-04-10,58.22063064575195,108.4469223022461
2015-04-13,57.70457458496094,107.53729248046875
2015-04-14,57.84219741821289,106.20472717285156
2015-04-15,57.93065643310547,105.80575561523438
2015-04-16,57.738983154296875,106.24463653564453
2015-04-17,56.57417678833008,104.74452209472656
2015-04-20,57.26225662231445,106.34834289550781
2015-04-21,57.4785041809082,106.23664855957031
2015-04-22,57.48342514038086,106.69147491455078
2015-04-23,57.630855560302734,105.96536254882812
2015-04-24,57.09022521972656,107.00263977050781
2015-04-27,56.883811950683594,106.57177734375
2015-04-28,57.050907135009766,106.50794982910156
2015-04-29,56.706871032714844,110.53749084472656
2015-04-30,55.905765533447266,109.57200622558594
2015-05-01,56.73636245727539,111.8221206665039
2015-05-04,57.232757568359375,112.18920135498047
2015-05-05,56.55451583862305,110.0986328125
2015-05-06,56.55942153930664,109.8193588256836
2015-05-07,57.0312385559082,110.35395050048828
2015-05-08,58.205894470214844,113.03499603271484
2015-05-11,57.847103118896484,111.88597869873047
2015-05-12,57.679996490478516,111.25564575195312
2015-05-13,58.00121307373047,110.9284896850586
2015-05-14,58.875892639160156,112.46050262451172
2015-05-15,58.554710388183594,111.79821014404297
2015-05-18,58.5645637512207,111.93389892578125
2015-05-19,58.84128952026367,111.75035095214844
2015-05-20,58.74248123168945,111.67054748535156
2015-05-21,58.86600875854492,112.40463256835938
2015-05-22,58.61893844604492,111.4231948852539
2015-05-26,57.754127502441406,110.10663604736328
2015-05-27,58.1346435546875,112.15730285644531
2015-05-28,58.159358978271484,112.03762817382812
2015-05-29,57.90237808227539,111.838134765625
2015-06-01,57.81834411621094,111.90990447998047
2015-06-02,57.986385345458984,112.18920135498047
2015-06-03,58.5645637512207,112.25304412841797
2015-06-04,57.887550354003906,110.89657592773438
2015-06-05,57.81834411621094,111.08806610107422
2015-06-08,57.413150787353516,110.3858871459961
2015-06-09,57.472450256347656,110.65717315673828
2015-06-10,58.06544876098633,112.93925476074219
2015-06-11,58.470699310302734,113.50579071044922
2015-06-12,58.1148796081543,113.3462142944336
2015-06-15,56.63728713989258,113.32225799560547
2015-06-16,56.80036544799805,114.28777313232422
2015-06-17,56.8646125793457,115.30113983154297
2015-06-18,57.2747917175293,116.49007415771484
2015-06-19,56.775657653808594,115.77192687988281
2015-06-22,56.9683952331543,115.99536895751953
2015-06-23,56.94367218017578,115.99536895751953
2015-06-24,56.321014404296875,116.11502075195312
2015-06-25,55.989933013916016,115.00589752197266
2015-06-26,56.09864044189453,116.29057312011719
2015-06-29,55.11521530151367,113.17864990234375
2015-06-30,54.8187255859375,113.61165618896484
2015-07-01,54.764366149902344,114.79835510253906
2015-07-02,54.14170837402344,114.78231048583984
2015-07-06,54.04288101196289,114.93461608886719
2015-07-07,54.403621673583984,115.18321990966797
2015-07-08,53.7018928527832,114.06867980957031
2015-07-09,53.825443267822266,115.36766815185547
2015-07-10,54.448097229003906,117.147705078125
2015-07-13,55.13993835449219,117.2519760131836
2015-07-14,55.105350494384766,117.84532928466797
2015-07-15,54.97686004638672,118.06979370117188
2015-07-16,54.9818115234375,119.03201293945312
2015-07-17,54.724830627441406,119.19239044189453
2015-07-20,54.59636306762695,119.48104858398438
2015-07-21,50.756622314453125,117.300048828125
2015-07-22,50.18338394165039,116.44207763671875
2015-07-23,49.98076248168945,116.10533905029297
2015-07-24,49.07643508911133,114.35734558105469
2015-07-27,48.85898971557617,114.18894958496094
2015-07-28,48.90841293334961,115.69642639160156
2015-07-29,49.101139068603516,120.24280548095703
2015-07-30,49.778160095214844,120.4993667602539
2015-07-31,49.57061767578125,119.56124114990234
