Date,JPM,BAC
2015-01-02,46.948081970214844,14.356871604919434
2015-01-05,45.49057388305664,13.939796447753906
2015-01-06,44.3110466003418,13.52272891998291
2015-01-07,44.378662109375,13.586894035339355
2015-01-08,45.370361328125,13.86761474609375
2015-01-09,44.58151626586914,13.618975639343262
2015-01-12,44.1983642578125,13.378360748291016
2015-01-13,44.205875396728516,13.193887710571289
2015-01-14,42.68075942993164,12.865038871765137
2015-01-15,41.31340789794922,12.191308975219727
2015-01-16,42.01961898803711,12.335679054260254
2015-01-20,41.85433578491211,12.239433288574219
2015-01-21,41.98957061767578,12.359739303588867
2015-01-22,43.26675796508789,12.905143737792969
2015-01-23,42.58308792114258,12.616402626037598
2015-01-26,42.650699615478516,12.71264934539795
2015-01-27,42.22247314453125,12.536192893981934
2015-01-28,41.133094787597656,12.191308975219727
2015-01-29,41.82429122924805,12.375783920288086
2015-01-30,40.85512161254883,12.151206970214844
2015-02-02,41.67403030395508,12.399845123291016
2015-02-03,42.61314392089844,12.74472713470459
2015-02-04,42.35770034790039,12.66452693939209
2015-02-05,42.650699615478516,12.808893203735352
2015-02-06,43.49214172363281,13.225966453552246
2015-02-09,43.439552307128906,13.113680839538574
2015-02-10,43.92039108276367,13.169822692871094
2015-02-11,43.852760314941406,13.121700286865234
2015-02-12,44.75431442260742,13.370335578918457
2015-02-13,44.82943344116211,13.322216033935547
2015-02-17,45.152496337890625,13.33825397491455
2015-02-18,44.60405349731445,13.07357406616211
2015-02-19,44.49887466430664,13.001388549804688
2015-02-20,44.9271125793457,13.137742042541504
2015-02-23,44.58903121948242,12.993370056152344
2015-02-24,45.693424224853516,13.137742042541504
2015-02-25,45.933837890625,13.225966453552246
2015-02-26,46.26441192626953,12.865038871765137
2015-02-27,46.03900909423828,12.680569648742676
2015-03-02,46.40715789794922,12.840975761413574
2015-03-03,46.55739974975586,12.865038871765137
2015-03-04,46.677616119384766,12.744355201721191
2015-03-05,46.5799446105957,12.87308406829834
2015-03-06,45.74602127075195,13.050089836120605
2015-03-09,46.20429992675781,13.00986099243164
2015-03-10,45.04731369018555,12.704124450683594
2015-03-11,45.25766372680664,12.961588859558105
2015-03-12,46.106632232666016,12.945499420166016
2015-03-13,45.82865524291992,12.945499420166016
2015-03-16,46.467247009277344,12.977679252624512
2015-03-17,46.286956787109375,12.945499420166016
2015-03-18,46.39213180541992,12.856993675231934
2015-03-19,45.97892379760742,12.559301376342773
2015-03-20,46.39213180541992,12.744355201721191
2015-03-23,45.933837890625,12.647807121276855
2015-03-24,45.42296600341797,12.559301376342773
2015-03-25,44.784366607666016,12.39838981628418
2015-03-26,44.731781005859375,12.406435012817383
2015-03-27,44.73929214477539,12.31793212890625
2015-03-30,45.79861068725586,12.486895561218262
2015-03-31,45.51312255859375,12.38229751586914
2015-04-01,45.339168548583984,12.39838981628418
2015-04-02,45.7702522277832,12.502984046936035
