Date,BA,EADSY
2015-01-02,113.65721130371094,10.608044624328613
2015-01-05,112.87005615234375,10.616584777832031
2015-01-06,111.54061889648438,10.795948028564453
2015-01-07,113.27238464355469,11.111968040466309
2015-01-08,115.2752456665039,11.410906791687012
2015-01-09,115.04785919189453,11.274249076843262
2015-01-12,114.46186065673828,11.334036827087402
2015-01-13,114.72425842285156,11.351119995117188
2015-01-14,114.03330993652344,11.410906791687012
2015-01-15,113.82340240478516,11.445070266723633
2015-01-16,114.3831558227539,11.479235649108887
2015-01-20,114.76799774169922,11.641517639160156
2015-01-21,115.80879211425781,11.56464672088623
2015-01-22,118.63382720947266,11.598812103271484
2015-01-23,117.74169158935547,11.820878028869629
2015-01-26,117.26066589355469,12.094193458557129
2015-01-27,115.87001037597656,11.957537651062012
2015-01-28,122.13232421875,11.667139053344727
2015-01-29,129.2517547607422,11.88066577911377
2015-01-30,127.14390563964844,11.385282516479492
2015-02-02,127.92231750488281,11.436530113220215
2015-02-03,128.86692810058594,11.641517639160156
2015-02-04,128.76193237304688,11.445070266723633
2015-02-05,129.9689178466797,11.795256614685059
2015-02-06,129.44418334960938,11.56464672088623
2015-02-09,129.0768280029297,11.5817289352417
2015-02-10,129.47914123535156,12.000242233276367
2015-02-11,130.17434692382812,11.957537651062012
2015-02-12,130.32400512695312,12.15398120880127
2015-02-13,131.76719665527344,12.128358840942383
2015-02-17,131.93443298339844,12.358970642089844
2015-02-18,133.03445434570312,12.51270866394043
2015-02-19,135.30494689941406,12.589577674865723
2015-02-20,139.31787109375,12.837270736694336
2015-02-23,136.17617797851562,12.78602409362793
2015-02-24,135.859375,12.563955307006836
2015-02-25,134.6537322998047,12.384592056274414
2015-02-26,133.52725219726562,12.256474494934082
2015-02-27,132.7528839111328,13.093502044677734
2015-03-02,135.34893798828125,13.315572738647461
2015-03-03,136.90658569335938,13.221619606018066
2015-03-04,135.83299255371094,13.38390064239502
2015-03-05,135.93858337402344,13.896366119384766
2015-03-06,134.75051879882812,13.674297332763672
2015-03-09,136.1849822998047,13.665757179260254
2015-03-10,134.13450622558594,13.43514633178711
2015-03-11,133.03445434570312,13.785331726074219
