Date,XOM,CVX
2015-01-02,58.96713638305664,71.78399658203125
2015-01-05,57.353675842285156,68.91466522216797
2015-01-06,57.04877471923828,68.88277435302734
2015-01-07,57.6268310546875,68.82540130615234
2015-01-08,58.585994720458984,70.40033721923828
2015-01-09,58.503440856933594,68.99754333496094
2015-01-12,57.379112243652344,67.51189422607422
2015-01-13,57.16946029663086,66.44068908691406
2015-01-14,57.00431442260742,66.24942016601562
2015-01-15,56.508846282958984,65.4651107788086
2015-01-16,57.88091278076172,67.02731323242188
2015-01-20,57.861854553222656,67.88806915283203
2015-01-21,58.35733413696289,68.96569061279297
2015-01-22,58.99252700805664,69.45026397705078
2015-01-23,57.73481369018555,68.1303939819336
2015-01-26,58.28744125366211,69.42475128173828
2015-01-27,57.77293395996094,69.02943420410156
2015-01-28,55.86727523803711,66.12824249267578
2015-01-29,55.632240295410156,65.67552947998047
2015-01-30,55.530609130859375,65.37583923339844
2015-02-02,56.902687072753906,67.62667083740234
2015-02-03,58.59870147705078,69.8392333984375
2015-02-04,58.09689712524414,69.08682250976562
2015-02-05,58.668582916259766,69.69895935058594
2015-02-06,58.55978775024414,69.89024353027344
2015-02-09,58.59819793701172,70.41307830810547
2015-02-10,58.24618911743164,70.25370025634766
2015-02-11,57.983787536621094,70.12616729736328
2015-02-12,59.116573333740234,71.38172912597656
2015-02-13,59.75658416748047,72.61800384521484
2015-02-17,59.551788330078125,72.37335205078125
2015-02-18,58.24618911743164,71.11131286621094
2015-02-19,57.24137496948242,69.76557159423828
2015-02-20,57.54857635498047,69.92655181884766
2015-02-23,56.9661979675293,69.45006561279297
2015-02-24,57.22858810424805,69.51446533203125
2015-02-25,57.343807220458984,69.91368103027344
2015-02-26,56.73578643798828,68.93496704101562
2015-02-27,56.66538619995117,68.69026947021484
2015-03-02,56.34539794921875,68.18806457519531
2015-03-03,56.07658767700195,67.7115478515625
2015-03-04,55.79499435424805,67.7115478515625
2015-03-05,55.513389587402344,67.4346923828125
2015-03-06,54.802978515625,66.67491149902344
2015-03-09,54.5022087097168,66.93243408203125
2015-03-10,53.92620849609375,66.26283264160156
2015-03-11,53.77259826660156,66.66844940185547
2015-03-12,53.90060806274414,65.94730377197266
2015-03-13,53.67660903930664,65.43218994140625
2015-03-16,54.246192932128906,66.40447998046875
2015-03-17,53.81100845336914,66.43021392822266
2015-03-18,55.08460998535156,68.70315551757812
2015-03-19,54.022186279296875,67.44760131835938
2015-03-20,54.105411529541016,68.91566467285156
2015-03-23,54.67499923706055,68.20091247558594
2015-03-24,54.092613220214844,67.09342956542969
2015-03-25,54.31019592285156,68.0399169921875
2015-03-26,53.964595794677734,67.76951599121094
2015-03-27,53.49101257324219,67.14493560791016
2015-03-30,54.802978515625,68.83194732666016
2015-03-31,54.399803161621094,67.59567260742188
2015-04-01,54.05421447753906,67.47333526611328
2015-04-02,53.951812744140625,67.7888412475586
2015-04-06,54.48299789428711,68.84483337402344
2015-04-07,54.87980270385742,69.88792419433594
2015-04-08,53.79819869995117,68.67739868164062
2015-04-09,54.175819396972656,68.86414337158203
2015-04-10,54.75819396972656,68.83837890625
2015-04-13,54.61738586425781,68.57437896728516
2015-04-14,55.4430046081543,70.08106994628906
2015-04-15,56.370994567871094,71.09197998046875
2015-04-16,56.14698028564453,70.93102264404297
2015-04-17,55.63499069213867,70.25493621826172
2015-04-20,55.833396911621094,71.0147476196289
2015-04-21,55.60301208496094,70.65414428710938
2015-04-22,55.97420883178711,70.50605773925781
2015-04-23,56.025413513183594,70.8086929321289
2015-04-24,55.66059112548828,70.74429321289062
2015-04-27,55.68618392944336,70.63482666015625
2015-04-28,56.191795349121094,71.54915618896484
2015-04-29,56.23659133911133,71.94193267822266
2015-04-30,55.91661834716797,71.51052856445312
2015-05-01,56.863792419433594,70.20987701416016
2015-05-04,57.030181884765625,69.74624633789062
2015-05-05,56.71018981933594,69.54021453857422
2015-05-06,56.4413948059082,69.50801849365234
2015-05-07,56.06379699707031,69.26333618164062
2015-05-08,56.95338821411133,69.95875549316406
2015-05-11,55.99835968017578,69.12812042236328
2015-05-12,56.153236389160156,69.25690460205078
2015-05-13,55.856388092041016,69.34706115722656
2015-05-14,56.12095260620117,69.82996368408203
2015-05-15,56.36616134643555,70.2526626586914
2015-05-18,56.043521881103516,69.35525512695312
2015-05-19,56.133880615234375,68.29525756835938
2015-05-20,56.224205017089844,68.44481658935547
2015-05-21,56.27583312988281,68.60090637207031
2015-05-22,55.83055877685547,68.2107162475586
2015-05-26,55.07558059692383,67.17020416259766
2015-05-27,54.920719146728516,67.05316925048828
2015-05-28,54.920719146728516,67.13770294189453
2015-05-29,54.97880172729492,66.98161315917969
2015-06-01,54.93362045288086,66.74102020263672
2015-06-02,54.9400634765625,66.70850372314453
2015-06-03,54.81746292114258,66.4418716430664
2015-06-04,54.3464241027832,65.93463897705078
2015-06-05,54.38514709472656,66.0646743774414
2015-06-08,54.75294876098633,65.30382537841797
2015-06-09,54.57870864868164,65.30382537841797
2015-06-10,54.985252380371094,66.22076416015625
2015-06-11,54.907806396484375,65.75906372070312
2015-06-12,54.217350006103516,64.94615173339844
2015-06-15,54.02375030517578,64.56898498535156
2015-06-16,54.64323806762695,65.05671691894531
2015-06-17,54.675506591796875,64.87462615966797
2015-06-18,55.159481048583984,65.19328308105469
2015-06-19,54.985252380371094,64.68604278564453
2015-06-22,54.95942306518555,65.21929931640625
2015-06-23,54.8949089050293,65.08922576904297
2015-06-24,54.64323806762695,64.55599975585938
2015-06-25,54.15927505493164,63.95121383666992
2015-06-26,54.114105224609375,64.12026977539062
2015-06-29,53.4430046081543,62.8781852722168
2015-06-30,53.68820571899414,62.735107421875
2015-07-01,53.15263748168945,62.48800277709961
2015-07-02,53.649497985839844,62.344932556152344
2015-07-06,53.2558708190918,61.62958908081055
2015-07-07,53.47529220581055,61.95475769042969
2015-07-08,52.894527435302734,60.84273910522461
2015-07-09,52.65574264526367,60.98578643798828
2015-07-10,53.05582809448242,61.39547348022461
2015-07-13,53.18489074707031,61.51904296875
2015-07-14,53.630149841308594,62.1368293762207
2015-07-15,53.404273986816406,61.2849235534668
2015-07-16,53.50109100341797,61.44102096557617
2015-07-17,53.30748748779297,60.576107025146484
2015-07-20,52.75899124145508,60.43952178955078
2015-07-21,52.69446563720703,61.0638427734375
2015-07-22,52.77835464477539,60.810211181640625
2015-07-23,52.358909606933594,60.43952178955078
2015-07-24,51.5845832824707,58.917823791503906
2015-07-27,51.145782470703125,57.968379974365234
2015-07-28,53.223609924316406,60.08837127685547
2015-07-29,53.649497985839844,60.641117095947266
2015-07-30,53.565608978271484,60.49808120727539
2015-07-31,51.113502502441406,57.53916549682617
2015-08-03,50.37141036987305,55.66627883911133
2015-08-04,49.7971076965332,55.41266632080078
2015-08-05,49.7971076965332,54.64530563354492
2015-08-06,50.390769958496094,55.399662017822266
2015-08-07,49.577701568603516,54.46321105957031
2015-08-10,50.816650390625,55.854862213134766
2015-08-11,50.47146987915039,55.783321380615234
2015-08-12,51.31819152832031,56.44015121459961
2015-08-13,51.226985931396484,55.8288459777832
2015-08-14,51.03813552856445,55.91991424560547
