Date,LMT,NOC
2015-01-02,145.78517150878906,123.3713150024414
2015-01-05,142.7534637451172,120.76840209960938
2015-01-06,142.0823211669922,121.43387603759766
2015-01-07,143.91488647460938,125.27497863769531
2015-01-08,147.15774536132812,128.18116760253906
2015-01-09,147.07481384277344,128.66123962402344
2015-01-12,146.6600341796875,128.01266479492188
2015-01-13,146.56948852539062,128.03794860839844
2015-01-14,145.7248992919922,128.13055419921875
2015-01-15,145.0762939453125,128.29904174804688
2015-01-16,146.84100341796875,129.15826416015625
2015-01-20,147.6253204345703,129.49522399902344
2015-01-21,147.43679809570312,129.92478942871094
2015-01-22,149.3900146484375,131.82852172851562
2015-01-23,148.89984130859375,131.5674285888672
2015-01-26,147.57249450683594,131.01986694335938
2015-01-27,143.7037353515625,128.8297576904297
2015-01-28,142.72332763671875,128.17276000976562
2015-01-29,145.17433166503906,133.03309631347656
2015-01-30,142.05970764160156,132.20762634277344
2015-02-02,142.78366088867188,134.09446716308594
2015-02-03,144.79721069335938,135.18109130859375
2015-02-04,145.0084686279297,136.32667541503906
2015-02-05,146.35081481933594,137.3291015625
2015-02-06,147.24070739746094,136.66363525390625
2015-02-09,145.56642150878906,137.27859497070312
2015-02-10,147.56494140625,138.8958740234375
2015-02-11,148.04766845703125,140.07521057128906
2015-02-12,148.92999267578125,140.91754150390625
2015-02-13,148.53025817871094,140.7911376953125
2015-02-17,148.99783325195312,141.17864990234375
2015-02-18,149.7520294189453,141.24606323242188
2015-02-19,152.12008666992188,143.30982971191406
2015-02-20,153.8395538330078,145.05348205566406
2015-02-23,155.04612731933594,143.63836669921875
2015-02-24,155.8229522705078,143.36036682128906
2015-02-25,154.49562072753906,142.06314086914062
2015-02-26,152.9534149169922,140.67593383789062
2015-02-27,151.98098754882812,140.16839599609375
2015-03-02,154.2373046875,141.34413146972656
2015-03-03,151.88978576660156,138.4089813232422
2015-03-04,151.1604766845703,138.66278076171875
2015-03-05,151.25927734375,138.11294555664062
2015-03-06,150.1652374267578,135.68528747558594
2015-03-09,151.7454833984375,136.4127655029297
2015-03-10,150.1044921875,133.93435668945312
2015-03-11,149.8234100341797,133.672119140625
2015-03-12,151.0161590576172,135.3385467529297
2015-03-13,149.7473907470703,133.2746124267578
2015-03-16,153.54595947265625,136.4719696044922
2015-03-17,152.4520263671875,136.31973266601562
2015-03-18,153.91824340820312,137.7407989501953
2015-03-19,153.60678100585938,137.47018432617188
2015-03-20,154.80712890625,137.55471801757812
2015-03-23,154.1613311767578,137.6392822265625
2015-03-24,154.45005798339844,137.1063690185547
2015-03-25,151.19845581054688,134.65335083007812
2015-03-26,152.36839294433594,134.75486755371094
2015-03-27,153.6371612548828,135.74447631835938
2015-03-30,155.65798950195312,137.60543823242188
2015-03-31,154.1917266845703,136.1505126953125
2015-04-01,151.0009765625,135.80374145507812
2015-04-02,150.97056579589844,136.71722412109375
2015-04-06,152.34567260742188,137.67308044433594
2015-04-07,152.05691528320312,137.7999267578125
2015-04-08,152.55838012695312,138.89962768554688
2015-04-09,153.03697204589844,139.2041473388672
2015-04-10,152.2468719482422,139.86392211914062
2015-04-13,149.70181274414062,138.36676025390625
2015-04-14,149.92218017578125,138.07911682128906
2015-04-15,149.8234100341797,138.07911682128906
2015-04-16,149.75502014160156,138.19752502441406
2015-04-17,148.0076446533203,135.47381591796875
2015-04-20,149.51193237304688,137.6139373779297
2015-04-21,149.1244354248047,137.44468688964844
2015-04-22,150.14247131347656,137.09788513183594
2015-04-23,149.8157958984375,137.7323455810547
2015-04-24,148.4254608154297,136.84410095214844
2015-04-27,147.2631072998047,135.4484405517578
2015-04-28,147.39988708496094,135.7698974609375
2015-04-29,145.32586669921875,134.61106872558594
2015-04-30,141.7628173828125,130.2971649169922
2015-05-01,143.58612060546875,131.9635009765625
2015-05-04,144.11032104492188,131.81126403808594
2015-05-05,142.33261108398438,129.65428161621094
2015-05-06,141.9375457763672,129.6711883544922
2015-05-07,142.98597717285156,129.8065643310547
2015-05-08,144.71051025390625,132.21722412109375
2015-05-11,144.70289611816406,132.2510986328125
2015-05-12,144.8092803955078,131.4813232421875
2015-05-13,145.10557556152344,131.2952880859375
2015-05-14,146.66294860839844,133.36766052246094
2015-05-15,146.13876342773438,133.65521240234375
2015-05-18,146.68572998046875,133.6636962890625
2015-05-19,146.91372680664062,134.43345642089844
2015-05-20,146.81492614746094,135.01705932617188
2015-05-21,146.7085723876953,136.33665466308594
2015-05-22,146.5186309814453,135.3385467529297
2015-05-26,144.7333221435547,134.0443572998047
2015-05-27,145.3714599609375,134.76333618164062
2015-05-28,145.57818603515625,136.4295196533203
2015-05-29,144.1080322265625,135.32440185546875
2015-06-01,146.30564880371094,135.97048950195312
2015-06-02,146.075927734375,136.3190460205078
2015-06-03,146.93353271484375,136.24256896972656
2015-06-04,145.61648559570312,134.4232635498047
2015-06-05,144.97328186035156,133.71766662597656
2015-06-08,145.00389099121094,133.1820526123047
2015-06-09,144.98855590820312,133.6581268310547
2015-06-10,144.93502807617188,134.79727172851562
2015-06-11,146.61961364746094,136.67611694335938
2015-06-12,146.23672485351562,136.9226837158203
2015-06-15,145.42507934570312,135.987548828125
2015-06-16,146.11419677734375,137.28823852539062
2015-06-17,146.267333984375,138.46139526367188
2015-06-18,147.5919952392578,140.4082489013672
2015-06-19,146.35922241210938,140.31472778320312
2015-06-22,147.0789794921875,140.67176818847656
2015-06-23,146.7421417236328,139.73663330078125
2015-06-24,145.61648559570312,138.7504119873047
2015-06-25,145.47865295410156,137.8323211669922
2015-06-26,144.44497680664062,137.5262451171875
2015-06-29,142.05593872070312,134.89927673339844
2015-06-30,142.34689331054688,134.85682678222656
2015-07-01,144.08505249023438,136.10653686523438
2015-07-02,143.41888427734375,135.596435546875
2015-07-06,143.9472198486328,135.38389587402344
2015-07-07,145.6088409423828,137.20323181152344
2015-07-08,145.52462768554688,136.58261108398438
2015-07-09,147.11729431152344,138.30841064453125
2015-07-10,148.69471740722656,140.58673095703125
2015-07-13,151.5201873779297,142.22744750976562
2015-07-14,152.41603088378906,143.23919677734375
2015-07-15,152.69171142578125,143.32415771484375
2015-07-16,154.38394165039062,144.4038543701172
2015-07-17,154.04705810546875,143.66427612304688
2015-07-20,157.07168579101562,144.3782958984375
2015-07-21,155.5554962158203,141.77699279785156
2015-07-22,155.2798614501953,141.36041259765625
2015-07-23,155.3105010986328,140.697265625
2015-07-24,153.9398193359375,140.10214233398438
2015-07-27,154.03936767578125,138.19786071777344
2015-07-28,155.9230499267578,138.8609619140625
2015-07-29,159.38409423828125,147.4473114013672
2015-07-30,158.09767150878906,149.1220703125
2015-07-31,158.5801239013672,147.08177185058594
2015-08-03,159.10841369628906,146.359130859375
2015-08-04,160.44078063964844,146.32513427734375
2015-08-05,160.36419677734375,147.65135192871094
2015-08-06,160.23403930664062,146.96275329589844
2015-08-07,160.1038818359375,146.7757568359375
2015-08-10,161.39793395996094,148.986083984375
2015-08-11,159.92774963378906,147.30284118652344
2015-08-12,159.86648559570312,145.8490753173828
2015-08-13,160.63986206054688,146.9542236328125
2015-08-14,162.30148315429688,148.07640075683594
2015-08-17,163.11309814453125,148.52699279785156
2015-08-18,162.8451385498047,149.19862365722656
2015-08-19,161.78079223632812,149.30062866210938
2015-08-20,160.13442993164062,146.72471618652344
2015-08-21,156.72703552246094,140.56976318359375
2015-08-24,151.19859313964844,136.0384979248047
2015-08-25,152.3625030517578,135.7579803466797
2015-08-26,154.76683044433594,139.830078125
2015-08-27,157.3013153076172,142.73468017578125
2015-08-28,157.27818298339844,141.41908264160156
2015-08-31,155.18011474609375,139.88140869140625
2015-09-01,152.43408203125,136.14817810058594
2015-09-02,157.38619995117188,140.6245880126953
2015-09-03,158.2809295654297,140.6587677001953
2015-09-04,156.29087829589844,138.6511688232422
2015-09-08,159.6771240234375,143.52919006347656
2015-09-09,157.8644256591797,142.0341796875
2015-09-10,159.0137176513672,141.55572509765625
2015-09-11,159.52279663085938,143.96490478515625
2015-09-14,158.8980255126953,143.37539672851562
2015-09-15,160.31729125976562,145.51113891601562
2015-09-16,160.101318359375,146.04933166503906
2015-09-17,160.13217163085938,145.8443145751953
2015-09-18,156.8230743408203,144.35784912109375
2015-09-21,157.6253204345703,145.40867614746094
2015-09-22,157.0930633544922,143.20460510253906
2015-09-23,156.40655517578125,143.025146484375
2015-09-24,157.9415740966797,142.4783935546875
2015-09-25,157.2704620361328,141.4447479248047
2015-09-28,154.43968200683594,138.95022583007812
2015-09-29,156.17515563964844,139.7190399169922
2015-09-30,159.9084930419922,141.7693328857422
2015-10-01,157.93385314941406,141.57286071777344
2015-10-02,159.36859130859375,143.1191864013672
2015-10-05,163.31790161132812,145.5538330078125
2015-10-06,162.29193115234375,143.8708953857422
2015-10-07,164.25889587402344,146.2543487548828
2015-10-08,165.354248046875,148.43283081054688
2015-10-09,164.49801635742188,150.14141845703125
2015-10-12,165.3233642578125,151.37158203125
2015-10-13,163.51065063476562,151.20924377441406
2015-10-14,160.55642700195312,148.47555541992188
2015-10-15,161.35092163085938,148.69766235351562
2015-10-16,161.813720703125,149.39813232421875
2015-10-19,162.4770965576172,149.14190673828125
2015-10-20,161.00381469726562,149.0308380126953
2015-10-21,163.18675231933594,148.75746154785156
2015-10-22,167.00489807128906,153.344970703125
