Date,V,MA
2015-01-02,61.570621490478516,80.31995391845703
2015-01-05,60.2115364074707,78.06072235107422
2015-01-06,59.82354736328125,77.89196014404297
2015-01-07,60.62506103515625,79.10363006591797
2015-01-08,61.43821334838867,80.33402252197266
2015-01-09,60.527488708496094,79.31026458740234
2015-01-12,60.408992767333984,78.29585266113281
2015-01-13,60.58556365966797,78.47431182861328
2015-01-14,59.372840881347656,78.38977813720703
2015-01-15,58.80828857421875,77.25331115722656
2015-01-16,59.231117248535156,78.7091293334961
2015-01-20,59.670204162597656,79.14119720458984
2015-01-21,59.77244186401367,78.63400268554688
2015-01-22,59.846771240234375,79.25390625
2015-01-23,60.0070915222168,79.2632827758789
2015-01-26,59.59819412231445,78.52127838134766
2015-01-27,58.311119079589844,76.80244445800781
2015-01-28,57.23546600341797,75.83503723144531
2015-01-29,57.6164665222168,76.43612670898438
2015-01-30,59.2218132019043,77.04664611816406
2015-02-02,59.32172775268555,77.93895721435547
2015-02-03,60.35557174682617,78.71853637695312
2015-02-04,61.54044723510742,79.06603240966797
2015-02-05,63.14579391479492,80.60641479492188
2015-02-06,62.12820816040039,79.04727935791016
2015-02-09,61.6728515625,79.4511489868164
2015-02-10,61.461429595947266,79.1130142211914
2015-02-11,61.9083137512207,79.32905578613281
2015-02-12,63.05342483520508,82.20313262939453
2015-02-13,62.75551223754883,81.84623718261719
2015-02-17,63.04410171508789,82.20313262939453
2015-02-18,62.63679122924805,82.40040588378906
2015-02-19,62.63214111328125,83.78109741210938
2015-02-20,63.53986740112305,85.27450561523438
2015-02-23,63.54219436645508,85.58442687988281
2015-02-24,63.416507720947266,85.77230072021484
2015-02-25,63.54219436645508,87.04026794433594
2015-02-26,63.71443176269531,85.71595764160156
2015-02-27,63.146514892578125,84.65457916259766
2015-03-02,64.7710952758789,86.4297866821289
2015-03-03,64.07518005371094,85.44355010986328
2015-03-04,63.71443176269531,86.13859558105469
2015-03-05,63.80288314819336,87.17178344726562
2015-03-06,62.68800735473633,85.27450561523438
2015-03-09,63.172122955322266,85.58442687988281
2015-03-10,61.724449157714844,83.44296264648438
2015-03-11,61.61969757080078,81.68653869628906
2015-03-12,62.74386978149414,83.82805633544922
2015-03-13,61.68485641479492,82.4191665649414
2015-03-16,62.613525390625,83.32085418701172
2015-03-17,61.561519622802734,82.62579345703125
2015-03-18,62.2993049621582,83.48052215576172
2015-03-19,62.199222564697266,83.61202239990234
2015-03-20,62.75783920288086,84.36343383789062
2015-03-23,62.45062255859375,83.9031753540039
2015-03-24,62.469207763671875,84.05348205566406
2015-03-25,61.193756103515625,82.06227111816406
2015-03-26,61.06343460083008,82.58824157714844
2015-03-27,61.016883850097656,81.94954681396484
2015-03-30,61.12861251831055,82.34403228759766
2015-03-31,60.8958854675293,81.14176177978516
2015-04-01,60.681739807128906,81.47052001953125
2015-04-02,60.78413772583008,81.74293518066406
2015-04-06,60.70035171508789,82.03406524658203
2015-04-07,61.25894546508789,82.73040008544922
2015-04-08,61.91063690185547,84.04776763916016
2015-04-09,61.854766845703125,83.8031005859375
2015-04-10,61.76167678833008,83.34201049804688
2015-04-13,61.08207321166992,83.04093933105469
2015-04-14,61.0075798034668,83.85957336425781
2015-04-15,61.14723205566406,83.9819107055664
2015-04-16,61.11927795410156,83.48316955566406
2015-04-17,60.0672721862793,81.79883575439453
2015-04-20,60.253501892089844,82.17523193359375
2015-04-21,60.84001159667969,82.5892562866211
2015-04-22,63.316410064697266,85.81678771972656
2015-04-23,63.04644775390625,85.51568603515625
2015-04-24,62.823001861572266,85.3651123046875
2015-04-27,62.469207763671875,84.45238494873047
2015-04-28,62.1619987487793,84.90406799316406
2015-04-29,62.69267654418945,84.9228515625
2015-04-30,61.49169921875,84.88520812988281
2015-05-01,61.231014251708984,85.86383819580078
2015-05-04,61.05412292480469,85.7979736328125
2015-05-05,61.407894134521484,85.42156982421875
2015-05-06,61.13792037963867,85.2239990234375
2015-05-07,61.98511505126953,86.61660766601562
2015-05-08,64.67565155029297,87.99042510986328
2015-05-11,64.2567367553711,87.05886840820312
2015-05-12,63.94950866699219,86.93653106689453
2015-05-13,64.02409362792969,87.05886840820312
2015-05-14,65.28311157226562,88.30094909667969
2015-05-15,64.88213348388672,87.71755981445312
2015-05-18,65.28311157226562,87.58580780029297
2015-05-19,65.43236541748047,88.26332092285156
2015-05-20,65.07794952392578,87.73638153076172
2015-05-21,64.69557189941406,87.4164810180664
2015-05-22,64.92876434326172,87.21886444091797
2015-05-26,63.9215087890625,86.466064453125
2015-05-27,64.80750274658203,87.12474822998047
2015-05-28,64.87278747558594,87.3411865234375
2015-05-29,64.05208587646484,86.81421661376953
2015-06-01,64.45309448242188,87.09651184082031
2015-06-02,64.3878173828125,87.67051696777344
2015-06-03,64.30386352539062,87.98104095458984
2015-06-04,63.61376190185547,87.10594177246094
2015-06-05,63.76298141479492,87.1529541015625
2015-06-08,63.11946487426758,86.4754867553711
2015-06-09,63.37126159667969,86.65422821044922
2015-06-10,64.9380874633789,88.61146545410156
2015-06-11,64.94739532470703,88.9219970703125
2015-06-12,64.65830993652344,88.23512268066406
2015-06-15,63.949485778808594,87.79286193847656
2015-06-16,64.35984802246094,88.59265899658203
2015-06-17,64.11735534667969,88.87496185302734
2015-06-18,64.81684112548828,90.38050842285156
2015-06-19,64.0614242553711,89.21369934082031
2015-06-22,64.4344482421875,89.7877197265625
2015-06-23,64.74221801757812,90.05116271972656
2015-06-24,64.21994018554688,89.87239074707031
2015-06-25,63.99612808227539,88.88436889648438
2015-06-26,64.11735534667969,88.9314193725586
2015-06-29,62.224185943603516,87.05886840820312
2015-06-30,62.62519836425781,87.96223449707031
2015-07-01,63.27802276611328,88.9219970703125
2015-07-02,63.6417350769043,88.67733001708984
2015-07-06,63.52982711791992,88.94082641601562
2015-07-07,63.20341110229492,88.49779510498047
2015-07-08,62.23347091674805,87.17820739746094
2015-07-09,62.531925201416016,87.6966323852539
2015-07-10,63.80959701538086,89.1858901977539
2015-07-13,64.8354721069336,90.01534271240234
2015-07-14,65.37640380859375,89.798583984375
2015-07-15,65.30180358886719,89.77971649169922
2015-07-16,65.81474304199219,90.31697845458984
2015-07-17,66.10383605957031,90.5620346069336
2015-07-20,67.80118560791016,91.67428588867188
2015-07-21,67.16702270507812,91.15585327148438
2015-07-22,67.12039184570312,91.31609344482422
2015-07-23,66.91522979736328,89.69487762451172
