Date,HII,GD
2015-01-02,92.10983276367188,109.41446685791016
2015-01-05,90.72706604003906,107.1305923461914
2015-01-06,94.06050109863281,107.25701141357422
2015-01-07,93.8958969116211,106.84607696533203
2015-01-08,96.9083251953125,109.42237854003906
2015-01-09,95.37742614746094,109.82539367675781
2015-01-12,95.06465911865234,108.97981262207031
2015-01-13,94.58724975585938,108.89287567138672
2015-01-14,93.4432144165039,109.03579711914062
2015-01-15,92.87527465820312,109.32156372070312
2015-01-16,95.18812561035156,110.40121459960938
2015-01-20,94.48025512695312,109.62319946289062
2015-01-21,95.40213012695312,110.2583236694336
2015-01-22,98.2746353149414,112.10005187988281
2015-01-23,98.44744110107422,112.18739318847656
2015-01-26,98.37339782714844,111.1871109008789
2015-01-27,97.9865493774414,108.91670227050781
2015-01-28,97.4844741821289,108.28160858154297
2015-01-29,97.52562713623047,106.7574234008789
2015-01-30,95.97003936767578,105.74922180175781
2015-02-02,97.13056945800781,108.0593490600586
2015-02-03,99.73149108886719,110.30595397949219
2015-02-04,99.476318359375,109.97250366210938
2015-02-05,99.45983123779297,110.09954071044922
2015-02-06,100.17594146728516,110.57586669921875
2015-02-09,98.12646484375,108.71033477783203
2015-02-10,99.1717758178711,109.67880249023438
2015-02-11,100.38993072509766,108.92461395263672
2015-02-12,102.14305877685547,109.67085266113281
2015-02-13,102.98258972167969,109.24217224121094
2015-02-17,103.30360412597656,109.59147644042969
2015-02-18,105.69051361083984,110.07574462890625
2015-02-19,109.4683837890625,110.75050354003906
2015-02-20,113.32857513427734,112.9177017211914
2015-02-23,117.2134780883789,112.13973236083984
2015-02-24,114.9582748413086,112.47315216064453
2015-02-25,116.93364715576172,111.2506332397461
2015-02-26,117.40277862548828,110.68699645996094
2015-02-27,116.32457733154297,110.17097473144531
2015-03-02,118.15177154541016,110.9807357788086
2015-03-03,117.03238677978516,108.82937622070312
2015-03-04,117.96510314941406,108.16251373291016
2015-03-05,116.28129577636719,108.305419921875
2015-03-06,113.13658905029297,106.85269165039062
2015-03-09,114.96892547607422,107.90052795410156
2015-03-10,113.35118865966797,105.3364028930664
2015-03-11,114.65528106689453,105.02681732177734
2015-03-12,116.0914535522461,106.1143798828125
2015-03-13,115.00193786621094,104.93952178955078
2015-03-16,115.08448791503906,107.14640045166016
2015-03-17,115.85213470458984,106.47956848144531
2015-03-18,116.77653503417969,108.0593490600586
2015-03-19,116.65274047851562,107.39250183105469
2015-03-20,118.08895111083984,107.49567413330078
2015-03-23,117.39559936523438,107.86882019042969
2015-03-24,117.4038314819336,107.32901763916016
2015-03-25,113.9041976928711,106.18582916259766
2015-03-26,114.15180206298828,106.79712677001953
2015-03-27,113.59878540039062,107.20195007324219
2015-03-30,117.13143157958984,109.16275024414062
2015-03-31,115.67877197265625,107.74972534179688
2015-04-01,116.07499694824219,106.36048126220703
2015-04-02,115.09274291992188,106.16201782226562
2015-04-06,116.69400787353516,107.57508087158203
2015-04-07,116.7270278930664,107.17021179199219
2015-04-08,116.23178100585938,107.9123306274414
2015-04-09,115.83560180664062,108.34320831298828
